Category,Keyword,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
Post&amp;Comment,#ChatGPT,https://twitter.com/albert12798/status/1648720620560216064,albert,https://twitter.com/albert12798,2023-04-19,just took this picture,https://pbs.twimg.com/media/FuFuqkwaQAAitF_?format=jpg&name=small,https://twitter.com/albert12798/status/1648720620560216064,False,467,"1,941",66K,1.3M
Post&amp;Comment,#ChatGPT,https://twitter.com/PopBase/status/1648721877693784067,Pop Base,https://twitter.com/PopBase,2023-04-19,ASTRO’s Moonbin has passed away at the age of 25.,https://pbs.twimg.com/media/FuFvzxoakAEOLjK?format=jpg&name=small,https://twitter.com/PopBase/status/1648721877693784067,False,,13.4K,53.6K,9.6M
Post&amp;Comment,#GPT,https://twitter.com/kirawontmiss/status/1648726935260758031,kira Ellen DeGeneres,https://twitter.com/kirawontmiss,2023-04-19,imagine seeing this running towards you at full speed in the dark,https://pbs.twimg.com/media/FuBEgopaIAAslPU?format=jpg&name=small,https://twitter.com/kirawontmiss/status/1648726935260758031,False,440,"2,797",61.2K,2.8M
Post&amp;Comment,#GPT,https://twitter.com/_B___S/status/1648738225404379151,B&S,https://twitter.com/_B___S,2023-04-19,This old man is donating tennis balls to the animal shelter,https://pbs.twimg.com/media/FuF-rPlWAAgANrl?format=jpg&name=small,https://twitter.com/_B___S/status/1648738225404379151,False,84,"1,212",24.7K,391K
Post&amp;Comment,#GPT,https://twitter.com/albert12798/status/1648748906610839552,albert,https://twitter.com/albert12798,2023-04-19,my IQ test just came back negative,https://pbs.twimg.com/media/FuGIZDVagAAzmwJ?format=jpg&name=small,https://twitter.com/albert12798/status/1648748906610839552,False,119,466,11.9K,251.7K
Post&amp;Comment,#GPT,https://twitter.com/theweeknd/status/1648736477613035520,The Weeknd,https://twitter.com/theweeknd,2023-04-19,new song “DOUBLE FANTASY” ft. @1future out tomorrow night : http://theweeknd.co/DoubleFantasy.  #THEIDOL,https://pbs.twimg.com/media/FuF7O_hacAU3Xm5?format=jpg&name=small,https://twitter.com/theweeknd/status/1648736477613035520,False,563,"4,188",23.8K,697.7K
Post&amp;Comment,#GPT,https://twitter.com/upblissed/status/1648692335952134146,Corn ✧⍣Halo Wars 2,https://twitter.com/upblissed,2023-04-19,racists boutta have a field day wit this they retired his number like he a hall of famer,https://pbs.twimg.com/media/Ft8Q9LKXsAAK-Mc?format=jpg&name=small,https://twitter.com/upblissed/status/1648692335952134146,False,206,"4,615",76.4K,3.4M
Post&amp;Comment,#OpenAI,https://twitter.com/kirawontmiss/status/1648726935260758031,kira Ellen DeGeneres,https://twitter.com/kirawontmiss,2023-04-19,imagine seeing this running towards you at full speed in the dark,https://pbs.twimg.com/media/FuBEgopaIAAslPU?format=jpg&name=small,https://twitter.com/kirawontmiss/status/1648726935260758031,False,440,"2,797",61.2K,2.8M
Post&amp;Comment,#OpenAI,https://twitter.com/_B___S/status/1648738225404379151,B&S,https://twitter.com/_B___S,2023-04-19,This old man is donating tennis balls to the animal shelter,https://pbs.twimg.com/media/FuF-rPlWAAgANrl?format=jpg&name=small,https://twitter.com/_B___S/status/1648738225404379151,False,84,"1,212",24.7K,391K
Post&amp;Comment,#OpenAI,https://twitter.com/theweeknd/status/1648736477613035520,The Weeknd,https://twitter.com/theweeknd,2023-04-19,new song “DOUBLE FANTASY” ft. @1future out tomorrow night : http://theweeknd.co/DoubleFantasy.  #THEIDOL,https://pbs.twimg.com/media/FuF7O_hacAU3Xm5?format=jpg&name=small,https://twitter.com/theweeknd/status/1648736477613035520,False,563,"4,188",23.8K,697.7K
Post&amp;Comment,#OpenAI,https://twitter.com/upblissed/status/1648692335952134146,Corn ✧⍣Halo Wars 2,https://twitter.com/upblissed,2023-04-19,racists boutta have a field day wit this they retired his number like he a hall of famer,https://pbs.twimg.com/media/Ft8Q9LKXsAAK-Mc?format=jpg&name=small,https://twitter.com/upblissed/status/1648692335952134146,False,206,"4,615",76.4K,3.4M
Post&amp;Comment,#ChatGPT,https://twitter.com/kirawontmiss/status/1648726935260758031,kira Ellen DeGeneres,https://twitter.com/kirawontmiss,2023-04-19,imagine seeing this running towards you at full speed in the dark,https://pbs.twimg.com/media/FuBEgopaIAAslPU?format=jpg&name=small,https://twitter.com/kirawontmiss/status/1648726935260758031,False,440,"2,797",61.2K,2.8M
Post&amp;Comment,#ChatGPT,https://twitter.com/_B___S/status/1648738225404379151,B&S,https://twitter.com/_B___S,2023-04-19,This old man is donating tennis balls to the animal shelter,https://pbs.twimg.com/media/FuF-rPlWAAgANrl?format=jpg&name=small,https://twitter.com/_B___S/status/1648738225404379151,False,84,"1,212",24.7K,391K
Post&amp;Comment,#ChatGPT,https://twitter.com/theweeknd/status/1648736477613035520,The Weeknd,https://twitter.com/theweeknd,2023-04-19,new song “DOUBLE FANTASY” ft. @1future out tomorrow night : http://theweeknd.co/DoubleFantasy.  #THEIDOL,https://pbs.twimg.com/media/FuF7O_hacAU3Xm5?format=jpg&name=small,https://twitter.com/theweeknd/status/1648736477613035520,False,563,"4,188",23.8K,697.7K
Post&amp;Comment,#ChatGPT,https://twitter.com/upblissed/status/1648692335952134146,Corn ✧⍣Halo Wars 2,https://twitter.com/upblissed,2023-04-19,racists boutta have a field day wit this they retired his number like he a hall of famer,https://pbs.twimg.com/media/Ft8Q9LKXsAAK-Mc?format=jpg&name=small,https://twitter.com/upblissed/status/1648692335952134146,False,206,"4,615",76.4K,3.4M
Post&amp;Comment,#GPT,https://twitter.com/FabrizioRomano/status/1648716307574009859,Fabrizio Romano,https://twitter.com/FabrizioRomano,2023-04-19,"Real Betis legend Joaquín announces his retirement from professional football at the end of current season  #Betis839 pro apps, 112 goals, 102 assists. 23 years of fantastic performances and true love for Betis.",https://pbs.twimg.com/media/FuFqvZ8WwAQOn79?format=jpg&name=small,https://twitter.com/FabrizioRomano/status/1648716307574009859,False,296,"2,789",41.3K,2.2M
Post&amp;Comment,#GPT,https://twitter.com/TweetsOfCats/status/1648722375309918210,Tweets of Cats,https://twitter.com/TweetsOfCats,2023-04-19,stop ordering biscuits!,,https://twitter.com/TweetsOfCats/status/1648722375309918210,False,166,"4,157",30.7K,500.5K
Post&amp;Comment,#GPT,https://twitter.com/SaeedDiCaprio/status/1648708599466582017,Hurt CoPain,https://twitter.com/SaeedDiCaprio,2023-04-19,they need to name the person so I can bully them,https://pbs.twimg.com/media/FuFju5oWwAEm9Uv?format=jpg&name=small,https://twitter.com/SaeedDiCaprio/status/1648708599466582017,False,56,"1,376",40K,819.5K
Post&amp;Comment,#GPT,https://twitter.com/_B___S/status/1648714854914555905,B&S,https://twitter.com/_B___S,2023-04-19,Pelican tries to eat capybara,,https://twitter.com/_B___S/status/1648714854914555905,False,329,"3,915",34.1K,884.5K
Post&amp;Comment,#OpenAI,https://twitter.com/albert12798/status/1648748906610839552,albert,https://twitter.com/albert12798,2023-04-19,my IQ test just came back negative,https://pbs.twimg.com/media/FuGIZDVagAAzmwJ?format=jpg&name=small,https://twitter.com/albert12798/status/1648748906610839552,False,119,466,11.9K,251.7K
Post&amp;Comment,#OpenAI,https://twitter.com/FabrizioRomano/status/1648716307574009859,Fabrizio Romano,https://twitter.com/FabrizioRomano,2023-04-19,"Real Betis legend Joaquín announces his retirement from professional football at the end of current season  #Betis839 pro apps, 112 goals, 102 assists. 23 years of fantastic performances and true love for Betis.",https://pbs.twimg.com/media/FuFqvZ8WwAQOn79?format=jpg&name=small,https://twitter.com/FabrizioRomano/status/1648716307574009859,False,296,"2,789",41.3K,2.2M
Post&amp;Comment,#OpenAI,https://twitter.com/TweetsOfCats/status/1648722375309918210,Tweets of Cats,https://twitter.com/TweetsOfCats,2023-04-19,stop ordering biscuits!,,https://twitter.com/TweetsOfCats/status/1648722375309918210,False,166,"4,158",30.7K,500.5K
Post&amp;Comment,#OpenAI,https://twitter.com/SaeedDiCaprio/status/1648708599466582017,Hurt CoPain,https://twitter.com/SaeedDiCaprio,2023-04-19,they need to name the person so I can bully them,https://pbs.twimg.com/media/FuFju5oWwAEm9Uv?format=jpg&name=small,https://twitter.com/SaeedDiCaprio/status/1648708599466582017,False,56,"1,376",40K,819.5K
Post&amp;Comment,#OpenAI,https://twitter.com/_B___S/status/1648714854914555905,B&S,https://twitter.com/_B___S,2023-04-19,Pelican tries to eat capybara,,https://twitter.com/_B___S/status/1648714854914555905,False,329,"3,915",34.1K,884.5K
Post&amp;Comment,#ChatGPT,https://twitter.com/FabrizioRomano/status/1648716307574009859,Fabrizio Romano,https://twitter.com/FabrizioRomano,2023-04-19,"Real Betis legend Joaquín announces his retirement from professional football at the end of current season  #Betis839 pro apps, 112 goals, 102 assists. 23 years of fantastic performances and true love for Betis.",https://pbs.twimg.com/media/FuFqvZ8WwAQOn79?format=jpg&name=small,https://twitter.com/FabrizioRomano/status/1648716307574009859,False,296,"2,789",41.3K,2.2M
Post&amp;Comment,#ChatGPT,https://twitter.com/albert12798/status/1648748906610839552,albert,https://twitter.com/albert12798,2023-04-19,my IQ test just came back negative,https://pbs.twimg.com/media/FuGIZDVagAAzmwJ?format=jpg&name=small,https://twitter.com/albert12798/status/1648748906610839552,False,119,466,11.9K,251.7K
Post&amp;Comment,#ChatGPT,https://twitter.com/TweetsOfCats/status/1648722375309918210,Tweets of Cats,https://twitter.com/TweetsOfCats,2023-04-19,stop ordering biscuits!,,https://twitter.com/TweetsOfCats/status/1648722375309918210,False,166,"4,157",30.7K,500.5K
Post&amp;Comment,#ChatGPT,https://twitter.com/SaeedDiCaprio/status/1648708599466582017,Hurt CoPain,https://twitter.com/SaeedDiCaprio,2023-04-19,they need to name the person so I can bully them,https://pbs.twimg.com/media/FuFju5oWwAEm9Uv?format=jpg&name=small,https://twitter.com/SaeedDiCaprio/status/1648708599466582017,False,56,"1,376",40K,819.5K
Post&amp;Comment,#ChatGPT,https://twitter.com/_B___S/status/1648714854914555905,B&S,https://twitter.com/_B___S,2023-04-19,Pelican tries to eat capybara,,https://twitter.com/_B___S/status/1648714854914555905,False,329,"3,915",34.1K,884.5K
Post&amp;Comment,#GPT,https://twitter.com/POTUS/status/1648687897040547842,President Biden,https://twitter.com/POTUS,2023-04-19,Ban assault weapons – it’s beyond time.,,https://twitter.com/POTUS/status/1648687897040547842,False,21.8K,"6,426",51.8K,12.8M
Post&amp;Comment,#GPT,https://twitter.com/dog_rates/status/1648720687568392192,WeRateDogs®,https://twitter.com/dog_rates,2023-04-19,This is Hubert. You're not going to believe what he found while playing today. Potentially one of his best discoveries to date. It was a puddle. 13/10,,https://twitter.com/dog_rates/status/1648720687568392192,False,405,"2,120",27.9K,1.6M
Post&amp;Comment,#GPT,https://twitter.com/buitengebieden/status/1648566796784467968,Buitengebieden,https://twitter.com/buitengebieden,2023-04-19,"Last few days I’m really wondering if people see my tweets on their timeline.. If you see this tweet, please give it a like.",https://pbs.twimg.com/media/FuDiw41XwAI_Qfo?format=jpg&name=small,https://twitter.com/buitengebieden/status/1648566796784467968,False,"1,687","1,816",109.4K,2.2M
Post&amp;Comment,#GPT,https://twitter.com/hasanthehun/status/1648691771277467650,hasanabiAncommie,https://twitter.com/hasanthehun,2023-04-19,they’re retiring the number like it’s the jersey of an nba legend oh man,https://pbs.twimg.com/media/FuBYP1oX0AMYAlt?format=jpg&name=small,https://twitter.com/hasanthehun/status/1648691771277467650,False,158,"1,825",38.3K,1.8M
Post&amp;Comment,#GPT,https://twitter.com/_B___S/status/1648731219566252034,B&S,https://twitter.com/_B___S,2023-04-19,Old dog teaches the new dog where the doggy-door is,,https://twitter.com/_B___S/status/1648731219566252034,False,77,"2,274",21.3K,428.9K
Post&amp;Comment,#OpenAI,https://twitter.com/POTUS/status/1648687897040547842,President Biden,https://twitter.com/POTUS,2023-04-19,Ban assault weapons – it’s beyond time.,,https://twitter.com/POTUS/status/1648687897040547842,False,21.8K,"6,426",51.8K,12.8M
Post&amp;Comment,#OpenAI,https://twitter.com/buitengebieden/status/1648566796784467968,Buitengebieden,https://twitter.com/buitengebieden,2023-04-19,"Last few days I’m really wondering if people see my tweets on their timeline.. If you see this tweet, please give it a like.",https://pbs.twimg.com/media/FuDiw41XwAI_Qfo?format=jpg&name=small,https://twitter.com/buitengebieden/status/1648566796784467968,False,"1,687","1,816",109.4K,2.2M
Post&amp;Comment,#OpenAI,https://twitter.com/hasanthehun/status/1648691771277467650,hasanabiAncommie,https://twitter.com/hasanthehun,2023-04-19,they’re retiring the number like it’s the jersey of an nba legend oh man,https://pbs.twimg.com/media/FuBYP1oX0AMYAlt?format=jpg&name=small,https://twitter.com/hasanthehun/status/1648691771277467650,False,158,"1,825",38.3K,1.8M
Post&amp;Comment,#OpenAI,https://twitter.com/kirawontmiss/status/1648714855027814402,kira ,https://twitter.com/kirawontmiss,2023-04-19,creative ass way to sell pants i’m crying,https://pbs.twimg.com/media/FuFpa9lXoAA9Fn7?format=jpg&name=small,https://twitter.com/kirawontmiss/status/1648714855027814402,False,109,848,33K,881.8K
Post&amp;Comment,#OpenAI,https://twitter.com/ESPNFC/status/1648657700266426370,ESPN FC,https://twitter.com/ESPNFC,2023-04-19,João Felix and Vinicius Jr. chatting after yesterday's match,https://pbs.twimg.com/media/FuCanTrX0AAunh6?format=jpg&name=small,https://twitter.com/ESPNFC/status/1648657700266426370,False,315,"1,781",52.4K,2.8M
Post&amp;Comment,#ChatGPT,https://twitter.com/POTUS/status/1648687897040547842,President Biden,https://twitter.com/POTUS,2023-04-19,Ban assault weapons – it’s beyond time.,,https://twitter.com/POTUS/status/1648687897040547842,False,21.8K,"6,426",51.8K,12.8M
Post&amp;Comment,#ChatGPT,https://twitter.com/dog_rates/status/1648720687568392192,WeRateDogs®,https://twitter.com/dog_rates,2023-04-19,This is Hubert. You're not going to believe what he found while playing today. Potentially one of his best discoveries to date. It was a puddle. 13/10,,https://twitter.com/dog_rates/status/1648720687568392192,False,405,"2,120",27.9K,1.6M
Post&amp;Comment,#ChatGPT,https://twitter.com/buitengebieden/status/1648566796784467968,Buitengebieden,https://twitter.com/buitengebieden,2023-04-19,"Last few days I’m really wondering if people see my tweets on their timeline.. If you see this tweet, please give it a like.",https://pbs.twimg.com/media/FuDiw41XwAI_Qfo?format=jpg&name=small,https://twitter.com/buitengebieden/status/1648566796784467968,False,"1,687","1,816",109.4K,2.2M
Post&amp;Comment,#ChatGPT,https://twitter.com/hasanthehun/status/1648691771277467650,hasanabiAncommie,https://twitter.com/hasanthehun,2023-04-19,they’re retiring the number like it’s the jersey of an nba legend oh man,https://pbs.twimg.com/media/FuBYP1oX0AMYAlt?format=jpg&name=small,https://twitter.com/hasanthehun/status/1648691771277467650,False,158,"1,825",38.3K,1.8M
Post&amp;Comment,#ChatGPT,https://twitter.com/kirawontmiss/status/1648714855027814402,kira ,https://twitter.com/kirawontmiss,2023-04-19,creative ass way to sell pants i’m crying,https://pbs.twimg.com/media/FuFpa9lXoAA9Fn7?format=jpg&name=small,https://twitter.com/kirawontmiss/status/1648714855027814402,False,109,848,33K,881.8K
Post&amp;Comment,#GPT,https://twitter.com/kirawontmiss/status/1648726935260758031,kira Ellen DeGeneres,https://twitter.com/kirawontmiss,2023-04-19,imagine seeing this running towards you at full speed in the dark,https://pbs.twimg.com/media/FuBEgopaIAAslPU?format=jpg&name=small,https://twitter.com/kirawontmiss/status/1648726935260758031,False,443,"2,811",61.5K,2.8M
Post&amp;Comment,#GPT,https://twitter.com/albert12798/status/1648720620560216064,albert,https://twitter.com/albert12798,2023-04-19,just took this picture,https://pbs.twimg.com/media/FuFuqkwaQAAitF_?format=jpg&name=small,https://twitter.com/albert12798/status/1648720620560216064,False,467,"1,947",66.2K,1.3M
Post&amp;Comment,#GPT,https://twitter.com/PopBase/status/1648721877693784067,Pop Base,https://twitter.com/PopBase,2023-04-19,ASTRO’s Moonbin has passed away at the age of 25.,https://pbs.twimg.com/media/FuFvzxoakAEOLjK?format=jpg&name=small,https://twitter.com/PopBase/status/1648721877693784067,False,,13.4K,53.7K,9.6M
Post&amp;Comment,#GPT,https://twitter.com/upblissed/status/1648692335952134146,Corn ✧⍣Halo Wars 2,https://twitter.com/upblissed,2023-04-19,racists boutta have a field day wit this they retired his number like he a hall of famer,https://pbs.twimg.com/media/Ft8Q9LKXsAAK-Mc?format=jpg&name=small,https://twitter.com/upblissed/status/1648692335952134146,False,207,"4,617",76.5K,3.4M
Post&amp;Comment,#OpenAI,https://twitter.com/dog_rates/status/1648720687568392192,WeRateDogs®,https://twitter.com/dog_rates,2023-04-19,This is Hubert. You're not going to believe what he found while playing today. Potentially one of his best discoveries to date. It was a puddle. 13/10,,https://twitter.com/dog_rates/status/1648720687568392192,False,405,"2,125",28K,1.6M
Post&amp;Comment,#OpenAI,https://twitter.com/_B___S/status/1648731219566252034,B&S,https://twitter.com/_B___S,2023-04-19,Old dog teaches the new dog where the doggy-door is,,https://twitter.com/_B___S/status/1648731219566252034,False,77,"2,289",21.4K,434K
Post&amp;Comment,#OpenAI,https://twitter.com/kirawontmiss/status/1648726935260758031,kira Ellen DeGeneres,https://twitter.com/kirawontmiss,2023-04-19,imagine seeing this running towards you at full speed in the dark,https://pbs.twimg.com/media/FuBEgopaIAAslPU?format=jpg&name=small,https://twitter.com/kirawontmiss/status/1648726935260758031,False,443,"2,813",61.5K,2.8M
Post&amp;Comment,#OpenAI,https://twitter.com/albert12798/status/1648720620560216064,albert,https://twitter.com/albert12798,2023-04-19,just took this picture,https://pbs.twimg.com/media/FuFuqkwaQAAitF_?format=jpg&name=small,https://twitter.com/albert12798/status/1648720620560216064,False,468,"1,947",66.2K,1.3M
Post&amp;Comment,#OpenAI,https://twitter.com/PopBase/status/1648721877693784067,Pop Base,https://twitter.com/PopBase,2023-04-19,ASTRO’s Moonbin has passed away at the age of 25.,https://pbs.twimg.com/media/FuFvzxoakAEOLjK?format=jpg&name=small,https://twitter.com/PopBase/status/1648721877693784067,False,,13.4K,53.7K,9.6M
Post&amp;Comment,#ChatGPT,https://twitter.com/ESPNFC/status/1648702997369683970,ESPN FC,https://twitter.com/ESPNFC,2023-04-19,A reminder that AC Milan signed Rafael Leao and Mike Maignan from Lille for a combined €40m  Brilliant business,https://pbs.twimg.com/media/FuFTIOJX0AAzcie?format=jpg&name=small,https://twitter.com/ESPNFC/status/1648702997369683970,False,103,"1,423",26.8K,554.2K
Post&amp;Comment,#ChatGPT,https://twitter.com/kirawontmiss/status/1648726935260758031,kira Ellen DeGeneres,https://twitter.com/kirawontmiss,2023-04-19,imagine seeing this running towards you at full speed in the dark,https://pbs.twimg.com/media/FuBEgopaIAAslPU?format=jpg&name=small,https://twitter.com/kirawontmiss/status/1648726935260758031,False,443,"2,813",61.5K,2.8M
Post&amp;Comment,#ChatGPT,https://twitter.com/albert12798/status/1648720620560216064,albert,https://twitter.com/albert12798,2023-04-19,just took this picture,https://pbs.twimg.com/media/FuFuqkwaQAAitF_?format=jpg&name=small,https://twitter.com/albert12798/status/1648720620560216064,False,468,"1,947",66.2K,1.3M
Post&amp;Comment,#ChatGPT,https://twitter.com/PopBase/status/1648721877693784067,Pop Base,https://twitter.com/PopBase,2023-04-19,ASTRO’s Moonbin has passed away at the age of 25.,https://pbs.twimg.com/media/FuFvzxoakAEOLjK?format=jpg&name=small,https://twitter.com/PopBase/status/1648721877693784067,False,,13.4K,53.7K,9.6M
Post&amp;Comment,#ChatGPT,https://twitter.com/upblissed/status/1648692335952134146,Corn ✧⍣Halo Wars 2,https://twitter.com/upblissed,2023-04-19,racists boutta have a field day wit this they retired his number like he a hall of famer,https://pbs.twimg.com/media/Ft8Q9LKXsAAK-Mc?format=jpg&name=small,https://twitter.com/upblissed/status/1648692335952134146,False,207,"4,617",76.5K,3.4M
Post&amp;Comment,#ChatGPT,https://twitter.com/TweetsOfCats/status/1648722375309918210,Tweets of Cats,https://twitter.com/TweetsOfCats,2023-04-19,stop ordering biscuits!,,https://twitter.com/TweetsOfCats/status/1648722375309918210,False,167,"4,173",30.8K,504.2K
Post&amp;Comment,#GPT,https://twitter.com/ESPNFC/status/1648657700266426370,ESPN FC,https://twitter.com/ESPNFC,2023-04-19,João Felix and Vinicius Jr. chatting after yesterday's match,https://pbs.twimg.com/media/FuCanTrX0AAunh6?format=jpg&name=small,https://twitter.com/ESPNFC/status/1648657700266426370,False,315,"1,782",52.5K,2.8M
Post&amp;Comment,#GPT,https://twitter.com/albert12798/status/1648720620560216064,albert,https://twitter.com/albert12798,2023-04-19,just took this picture,https://pbs.twimg.com/media/FuFuqkwaQAAitF_?format=jpg&name=small,https://twitter.com/albert12798/status/1648720620560216064,False,469,"1,947",66.3K,1.3M
Post&amp;Comment,#GPT,https://twitter.com/PopBase/status/1648721877693784067,Pop Base,https://twitter.com/PopBase,2023-04-19,ASTRO’s Moonbin has passed away at the age of 25.,https://pbs.twimg.com/media/FuFvzxoakAEOLjK?format=jpg&name=small,https://twitter.com/PopBase/status/1648721877693784067,False,,13.4K,53.7K,9.7M
Post&amp;Comment,#GPT,https://twitter.com/upblissed/status/1648692335952134146,Corn ✧⍣Halo Wars 2,https://twitter.com/upblissed,2023-04-19,racists boutta have a field day wit this they retired his number like he a hall of famer,https://pbs.twimg.com/media/Ft8Q9LKXsAAK-Mc?format=jpg&name=small,https://twitter.com/upblissed/status/1648692335952134146,False,207,"4,620",76.5K,3.4M
Post&amp;Comment,#OpenAI,https://twitter.com/MattWallace888/status/1648581145968164864,Matt Wallace,https://twitter.com/MattWallace888,2023-04-19,SHOULD PERMANENT GENDER SURGERIES FOR LITTLE KIDS BE BANNED IMMEDIATELY?,,https://twitter.com/MattWallace888/status/1648581145968164864,False,"6,140","4,520",72.7K,3M
Post&amp;Comment,#OpenAI,https://twitter.com/ESPNFC/status/1648702997369683970,ESPN FC,https://twitter.com/ESPNFC,2023-04-19,A reminder that AC Milan signed Rafael Leao and Mike Maignan from Lille for a combined €40m  Brilliant business,https://pbs.twimg.com/media/FuFTIOJX0AAzcie?format=jpg&name=small,https://twitter.com/ESPNFC/status/1648702997369683970,False,103,"1,423",26.8K,554.2K
Post&amp;Comment,#OpenAI,https://twitter.com/GatorsDaily/status/1648439938655072261,Gators Daily ,https://twitter.com/GatorsDaily,2023-04-18,ok guys here is a testwhich one will see u laterand which one will see u in a while,https://pbs.twimg.com/media/FuBvUajaUAAlD1Z?format=jpg&name=small,https://twitter.com/GatorsDaily/status/1648439938655072261,False,"2,503","8,322",120.8K,10.1M
Post&amp;Comment,#OpenAI,https://twitter.com/KatyMontgomerie/status/1648680554764574722,Katy Montgomerie Shea LaRoux ,https://twitter.com/KatyMontgomerie,2023-04-19,"Hearing reports that in the middle of some Florida trans kids testifying that they should be allowed rights, that the police shut their parents out and took custody of the kids?!",,https://twitter.com/KatyMontgomerie/status/1648680554764574722,False,200,"5,629",29.3K,1.6M
Post&amp;Comment,#OpenAI,https://twitter.com/DailyLoud/status/1648725141491253249,Daily Loudshao as a service,https://twitter.com/DailyLoud,2023-04-19,"McDonald's in Japan have installed sink systems that come with a slot that ""sanitizes"" your smartphone",,https://twitter.com/DailyLoud/status/1648725141491253249,False,377,"1,278",13K,1.2M
Post&amp;Comment,#OpenAI,https://twitter.com/vidsthatgohard/status/1648713456403750914,vids that go hardThe Wrestling Room (Pat Mineo),https://twitter.com/vidsthatgohard,2023-04-19,why he have do that,,https://twitter.com/vidsthatgohard/status/1648713456403750914,False,578,699,15.7K,3.5M
Post&amp;Comment,#ChatGPT,https://twitter.com/_B___S/status/1648633199835115520,B&S,https://twitter.com/_B___S,2023-04-19,"An albino peacock flying over a regular one, and it looks indeed his spirit or an out of body experience",https://pbs.twimg.com/media/FuEfJ36X0AAp6yc?format=jpg&name=small,https://twitter.com/_B___S/status/1648633199835115520,False,142,10.2K,88.2K,1.8M
Post&amp;Comment,#ChatGPT,https://twitter.com/MattWallace888/status/1648581145968164864,Matt Wallace,https://twitter.com/MattWallace888,2023-04-19,SHOULD PERMANENT GENDER SURGERIES FOR LITTLE KIDS BE BANNED IMMEDIATELY?,,https://twitter.com/MattWallace888/status/1648581145968164864,False,"6,140","4,520",72.7K,3M
Post&amp;Comment,#ChatGPT,https://twitter.com/GatorsDaily/status/1648439938655072261,Gators Daily ,https://twitter.com/GatorsDaily,2023-04-18,ok guys here is a testwhich one will see u laterand which one will see u in a while,https://pbs.twimg.com/media/FuBvUajaUAAlD1Z?format=jpg&name=small,https://twitter.com/GatorsDaily/status/1648439938655072261,False,"2,503","8,322",120.8K,10.1M
