Video_Title,Video_Link,Channel_Name,Channel_Link,Total_Views,Publish_Date,Description
"
            
            Data Analysis End-to-End Project for Portfolio STEP BY STEP | How to create a Data Analyst Project
          ",https://www.youtube.com/watch?v=obJZ1rB7TKc&pp=ygUMRGF0YSBTY2llbmNl,Tech Classes,https://www.youtube.com/@techclasses0810,65K views,2 months ago,... with Python Data manipulation in Python Python data analysis libraries Data analysis project Data analyst project Data analytics ...
"
            
            Google Certificate Tier List
          ",https://www.youtube.com/watch?v=kqNpp0rxp8k&pp=ygUMRGF0YSBTY2llbmNl,Shane Hummus,https://www.youtube.com/@ShaneHummus,24K views,12 days ago,Google Data Analytics : https://coursera.pxf.io/gbNzrg Google IT Automation With Python: https://coursera.pxf.io/e4xKEZ Google ...
"
            
            SEO In 5 Minutes | What Is SEO And How Does It Work | SEO Explained | SEO Tutorial | Simplilearn
          ",https://www.youtube.com/watch?v=MYE6T_gd7H0&pp=ygUMRGF0YSBTY2llbmNl,Simplilearn,https://www.youtube.com/@SimplilearnOfficial,871K views,2 years ago,"... various technologies like Data Science, Cybersecurity, Project Management & Leadership, Digital Marketing, and much more."
"
            
            Data Science for Engineering
          ",https://www.youtube.com/watch?v=73DNkfcTikg&pp=ygUMRGF0YSBTY2llbmNl,NPTEL Feedback,https://www.youtube.com/@nptelfeedback1989,No views,20 hours ago,
"
            
            Statistics in Data Science. #statistics #mean #median #model #ai #aitutorial #datascience #shorts
          ",https://www.youtube.com/shorts/I2s6ppCY5iM,AD ACADEMY AI,https://www.youtube.com/@ad_academy_ai,32 views,2 hours ago,
"
            
            Statistics for Data Science | Probability and Statistics | Statistics Tutorial | Ph.D. (Stanford)
          ",https://www.youtube.com/watch?v=Vfo5le26IhY&pp=ygUMRGF0YSBTY2llbmNl,Great Learning,https://www.youtube.com/@greatlearning,1.5M views,3 years ago,Great Learning offers a range of extensive Data Science courses that enable candidates for diverse work professions in Data ...
"
            
            Diversity in Data Science: Moving From Inclusion to Influence
          ",https://www.youtube.com/watch?v=vBghqaowprU&pp=ygUMRGF0YSBTY2llbmNl,YYC Data Society,https://www.youtube.com/@yycdatasociety1896,No views,4 hours ago,"Tomi Ajele moderates a panel discussion with Mariana de la Torre (Johnson and Johnson), Shari Grayson (Informed Opinions), ..."
"
            
            Data Science Career by Lawrence Moruye
          ",https://www.youtube.com/watch?v=4ZOTYeoRHG0&pp=ygUMRGF0YSBTY2llbmNl,Lux Tech Academy,https://www.youtube.com/@luxtechacademy586,No views,12 hours ago,Data Science East Africa and Lux Academy Bootcamp.
"
            
            Statistics - A Full University Course on Data Science Basics
          ",https://www.youtube.com/watch?v=xxpc-HPKN28&pp=ygUMRGF0YSBTY2llbmNl,freeCodeCamp.org,https://www.youtube.com/@freecodecamp,2.2M views,3 years ago,"Learn the essentials of statistics in this complete course. This course introduces the various methods used to collect, organize, ..."
"
            
            What is Data Science?
          ",https://www.youtube.com/watch?v=t8JRidxZCXU&pp=ygUMRGF0YSBTY2llbmNl,CodeWithHarry,https://www.youtube.com/@CodeWithHarry,1.4M views,1 year ago,What exactly is data science - A question many beginners ask. This video will answer this question and will teach you exactly what ...
"
            
            Amin Sukhera: CEO SkyElectric, Solar Energy, Data Science & Affordable Electricity | 322 | TBT
          ",https://www.youtube.com/watch?v=HLQGnwTpi7U&pp=ygUMRGF0YSBTY2llbmNl,Muzamil Hasan,https://www.youtube.com/@MuzamilHasan,12K views,8 days ago,Amin Sukhera is the CEO of SkyElectric Pvt. Ltd. #thoughtbehindthings #muzamilhasan #skyelectric 00:00 Introduction 00:58 ...
"
            
            A Day in the life of a Data Analyst in Chicago
          ",https://www.youtube.com/watch?v=gamjNp2CToQ&pp=ygUMRGF0YSBTY2llbmNl,Justin Shin,https://www.youtube.com/@justinshin,549K views,10 months ago,In this video I'll be sharing my day as a data analyst and breaking down my data analytics workflow. I went on a business trip to ...
"
            
            Data Scrapping 27 Tools | Zeeshan Usmani
          ",https://www.youtube.com/watch?v=Oxj1jMX0CG4&pp=ygUMRGF0YSBTY2llbmNl,Zeeshan Usmani,https://www.youtube.com/@zusmani78,34K views,1 year ago,"I've managed budgets upwards of 150 million dollars and am also able to be hands-on within data science, blockchain, and ..."
"
            
            Data Structures Easy to Advanced Course - Full Tutorial from a Google Engineer
          ",https://www.youtube.com/watch?v=RBSGKlAvoiM&pp=ygUMRGF0YSBTY2llbmNl,freeCodeCamp.org,https://www.youtube.com/@freecodecamp,5.4M views,3 years ago,Learn and master the most common data structures in this full course from Google engineer William Fiset. This course teaches ...
"
            
            Complete Data Analyst Roadmap 2023 in Hindi | Learn data analytics skills in 3 months
          ",https://www.youtube.com/watch?v=-j_HnYgIjQw&pp=ygUMRGF0YSBTY2llbmNl,codebasics Hindi,https://www.youtube.com/@codebasicsHindi,203K views,3 months ago,"The only roadmap you need to learn data analyst skills in 3 months. No clickbait, no BS. Only real advice. This roadmap has ..."
"
            
            Discover our Data Science bootcamp: Learn Essential Skills for a Career in Data
          ",https://www.youtube.com/watch?v=26rHTqbcI_8&pp=ygUMRGF0YSBTY2llbmNl,Le Wagon,https://www.youtube.com/@LeWagon,111 views,4 days ago,Are you interested in a career in Data Science? Our comprehensive bootcamp is designed to give you the skills and knowledge ...
"
            
            Excel Data Analytics Full Course | Essential Skills For Data Analysis In Excel | Simplilearn
          ",https://www.youtube.com/watch?v=OOWAk2aLEfk&pp=ygUMRGF0YSBTY2llbmNl,Simplilearn,https://www.youtube.com/@SimplilearnOfficial,1.3M views,2 years ago,"This Excel Data Analytics Full Course video will help you understand the various crucial functions available in Excel, such as ..."
"
            
            What is Data Mining|Data Mining in Hindi|Data Mining Tutorial for Beginners|Data Mining
          ",https://www.youtube.com/watch?v=KijNedsQBCs&pp=ygUMRGF0YSBTY2llbmNl,Code-yug,https://www.youtube.com/@Codeyug,36K views,1 year ago,"What is Data Mining|Data Mining in Hindi|Data Mining Tutorial for Beginners|Data Mining In this video,i have explained about ..."
"
            
            Job opportunity in Data science Management
          ",https://www.youtube.com/watch?v=2sctz-dpp0k&pp=ygUMRGF0YSBTY2llbmNl,Rudrendu Shekhar,https://www.youtube.com/@rudrendu,No views,5 hours ago,Data science courses from Lelawati Institute.
"
            
            Look-Ahead Bias - Future Data  | Financial Data Science | Dr. Ernest P. Chan
          ",https://www.youtube.com/watch?v=az7M5X3BEWU&pp=ygUMRGF0YSBTY2llbmNl,Quantra,https://www.youtube.com/@quantra,72 views,18 hours ago,FREE PREVIEW: https://quantra.quantinsti.com/course/financial-data-science-feature-engineering Welcome to this video lesson ...
"
            
            My Data Science Journey with Non-Tech Background
          ",https://www.youtube.com/watch?v=8_o2XWVK95E&pp=ygUMRGF0YSBTY2llbmNl,Sundas Khalid,https://www.youtube.com/@SundasKhalid,15K views,8 days ago,"In today's video, I am share my data science journey from non-tech background. My goal in sharing this video is to inspire others ..."
"
            
            Python Tutorial - Python Full Course for Beginners
          ",https://www.youtube.com/watch?v=_uQrJ0TkZlc&pp=ygUMRGF0YSBTY2llbmNl,Programming with Mosh,https://www.youtube.com/@programmingwithmosh,32M views,4 years ago,Python tutorial - Python full course for beginners - Go from Zero to Hero with Python (includes machine learning & web ...
"
            
            SQL Tutorial - Full Database Course for Beginners
          ",https://www.youtube.com/watch?v=HXV3zeQKqGY&pp=ygUMRGF0YSBTY2llbmNl,freeCodeCamp.org,https://www.youtube.com/@freecodecamp,15M views,4 years ago,"The course is designed for beginners to SQL and database management systems, and will introduce common database ..."
"
            
            ChatGPT, Explained: What to Know About OpenAI's Chatbot | Tech News Briefing Podcast | WSJ
          ",https://www.youtube.com/watch?v=qqxdsooKggE&pp=ygUMRGF0YSBTY2llbmNl,Wall Street Journal,https://www.youtube.com/@wsj,379K views,4 months ago,"ChatGPT, Lensa and DALL-E are giving more people without computing skills the chance to interact with artificial intelligence."
"
            
            real talk about my Data Scientist jobs + salary for entry level data science
          ",https://www.youtube.com/watch?v=5O9abIxIqNA&pp=ygUMRGF0YSBTY2llbmNl,The Almost Astrophysicist,https://www.youtube.com/@TheAlmostAstrophysicist,366K views,1 year ago,so I left astrophysics to become a data scientist straight out of college SO here are 5 massive realizations about the data science ...
"
            
            How to become a Data Analyst in 2023 - Salary min. 6 LPA (No Coding)
          ",https://www.youtube.com/watch?v=ttm2fJy-HJ4&pp=ygUMRGF0YSBTY2llbmNl,Learn With Lokesh Lalwani,https://www.youtube.com/@learnwithlokeshlalwani,100K views,1 month ago,Dataanalyst #powerbi #lokeshlalwani #learnwithlokeshlalwani Here is a link to my Free Masterclass ...
"
            
            Complete Roadmap to Become a Data Scientist
          ",https://www.youtube.com/watch?v=XnNzck5-HdQ&pp=ygUMRGF0YSBTY2llbmNl,CodeWithHarry,https://www.youtube.com/@CodeWithHarry,1.3M views,2 years ago,How to become a Data Scientist: Become a self taught data scientist using this learning path. This video will teach you about data ...
"
            
            Data Science in a Minute: Building Random Arrays with NumPy
          ",https://www.youtube.com/watch?v=J2GQnv7p5QI&pp=ygUMRGF0YSBTY2llbmNl,Kaddu Livingstone,https://www.youtube.com/@KadduLivingstone,7 views,14 hours ago,Learn how to generate a random array in just one minute using Python's NumPy library. This quick tutorial will show you how to ...
"
            
            How I Learned Data Science vs Roadmap! The Reality!
          ",https://www.youtube.com/watch?v=5QnXkgZAyEw&pp=ygUMRGF0YSBTY2llbmNl,Harnoor Singh,https://www.youtube.com/@HarnoorSinghOfficial,32K views,1 month ago,"Guide to Become Data Scientist in 2022, why Data Science is hard! Machine Learning, AI, Deep Learning Data Science Discord ..."
"
            
            The Ultimate Coding Setup for Data Science
          ",https://www.youtube.com/watch?v=TdbeymTcYYE&pp=ygUMRGF0YSBTY2llbmNl,Rob Mulla,https://www.youtube.com/@robmulla,55K views,5 months ago,"In this video I go though how I setup my operating system to code for datascience. We talk about operating system, terminal, IDEs ..."
"
            
            How to tell if a career in Data Analytics is right for you...
          ",https://www.youtube.com/watch?v=NOJKAzIH8hA&pp=ygUMRGF0YSBTY2llbmNl,CareerFoundry,https://www.youtube.com/@careerfoundry,145K views,7 months ago,Are you thinking about a career change and wondering if data analytics would be a good fit for you in 2023? In this video we will ...
"
            
            Python for Data Science - Course for Beginners (Learn Python, Pandas, NumPy, Matplotlib)
          ",https://www.youtube.com/watch?v=LHBE6Q9XlzI&pp=ygUMRGF0YSBTY2llbmNl,freeCodeCamp.org,https://www.youtube.com/@freecodecamp,2.8M views,2 years ago,This Python data science course will take you from knowing nothing about Python to coding and analyzing data with Python using ...
"
            
            Python Machine Learning Tutorial (Data Science)
          ",https://www.youtube.com/watch?v=7eh4d6sabA0&pp=ygUMRGF0YSBTY2llbmNl,Programming with Mosh,https://www.youtube.com/@programmingwithmosh,1.9M views,2 years ago,Want to learn more from me? Courses: https://codewithmosh.com Twitter: https://twitter.com/moshhamedani Facebook: ...
"
            
            How I Would Learn Data Science in 2023? (If I could start over)
          ",https://www.youtube.com/watch?v=ZWgRvW8d_N4&pp=ygUMRGF0YSBTY2llbmNl,Sundas Khalid,https://www.youtube.com/@SundasKhalid,95K views,3 months ago,"Hi friends, in today's video I am sharing my framework on how I would learn data science in 2023 if I had to start all over again."
"
            
            Data Science Full Course 2020 | Data Science For Beginners | Data Science from Scratch | Simplilearn
          ",https://www.youtube.com/watch?v=7WRlYJFG7YI&pp=ygUMRGF0YSBTY2llbmNl,Simplilearn,https://www.youtube.com/@SimplilearnOfficial,302K views,3 years ago,Will cover all the below-given topics required for a complete Data Science Tutorial: 0. Introduction (0:00) 1. Data Science basics ...
"
            
            Why being a data scientist is awesome!
          ",https://www.youtube.com/watch?v=DoFZtsV25Zw&pp=ygUMRGF0YSBTY2llbmNl,Tina Huang,https://www.youtube.com/@TinaHuang1,273K views,1 year ago,"In the last video, we talked about why you should not be a data scientist. If you still think that data science could be the right career ..."
"
            
            Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?
          ",https://www.youtube.com/watch?v=gTf2GLEhKgA&pp=ygUMRGF0YSBTY2llbmNl,Alex The Analyst,https://www.youtube.com/@AlexTheAnalyst,80K views,8 days ago,The Brand New Google Advanced Data Analytics Professional Certificate is here! In this video we take an initial look and see if it's ...
"
            
            Data Analysts are lowest paid in Data Science 💸🥵
          ",https://www.youtube.com/shorts/0qcsqdeDbc0,Luke Barousse,https://www.youtube.com/@LukeBarousse,42K views,3 months ago,"As a member of the Amazon, Coursera, Hostinger, and Parallels Affiliate Programs, I earn a commission from qualifying ..."
"
            
            What is Data Science? | Complete RoadMap | Simply Explained
          ",https://www.youtube.com/watch?v=jtn-hRJjl68&pp=ygUMRGF0YSBTY2llbmNl,Apna College,https://www.youtube.com/@ApnaCollegeOfficial,1.5M views,1 year ago,Java Placement Course : https://www.youtube.com/watch?v=yRpLlJmRo2w&list=PLfqMhTWNBTe3LtFWcvwpqTkUSlB32kJop ...
"
            
            Is Data Science A Good Career?
          ",https://www.youtube.com/watch?v=OybXWl3IWvI&pp=ygUMRGF0YSBTY2llbmNl,Ken Jee,https://www.youtube.com/@KenJee_ds,52K views,6 months ago,Today I answer the question: Is data science a good career? I base this off of 5 criteria that I find relevant. 1) Growth of the career ...
"
            
            real talk about Data Scientist salaries and what to expect over time
          ",https://www.youtube.com/watch?v=9-67jOMpf3w&pp=ygUMRGF0YSBTY2llbmNl,The Almost Astrophysicist,https://www.youtube.com/@TheAlmostAstrophysicist,13K views,8 months ago,"From feeling pretty underpaid to now being at a tech start-up and feeling less underpaid, I've learned a lot about Data Scientist ..."
"
            
            Data Science Job Interview – Full Mock Interview
          ",https://www.youtube.com/watch?v=sD468LfeVdc&pp=ygUMRGF0YSBTY2llbmNl,freeCodeCamp.org,https://www.youtube.com/@freecodecamp,165K views,1 month ago,This full-length interview will show you what a data science interview is like. This is a great video for anyone currently in the ...
"
            
            Work Day in My Life as a Data Scientist & Content Creator | *very productive but realistic*
          ",https://www.youtube.com/watch?v=oJhF2xThXI0&pp=ygUMRGF0YSBTY2llbmNl,julia fei,https://www.youtube.com/@juliafei,135K views,1 month ago,"Hello friends, It's been a hot minute since I filmed one of these! To be honest, my work day doesn't change that much and I don't ..."
"
            
            How I Became a Self-Taught Data Scientist with Non-Tech Background
          ",https://www.youtube.com/watch?v=Zoc9USYVdWM&pp=ygUMRGF0YSBTY2llbmNl,Sundas Khalid,https://www.youtube.com/@SundasKhalid,55K views,10 months ago,"Hi friends, I am sharing my transition to data science with non-tech background as well as my experience working at big tech ..."
"
            
            Make Money Online as a Data Analyst with FREE Google Certifications & Training
          ",https://www.youtube.com/watch?v=j62iI6i47Yc&pp=ygUMRGF0YSBTY2llbmNl,SuperHumans Life,https://www.youtube.com/@SuperHumansLife,160K views,1 month ago,"In today's digital age, data analytics is a rapidly growing field with a wide range of career opportunities. If you're looking to become ..."
"
            
            Top Courses to Learn Data Science Skills FAST!
          ",https://www.youtube.com/watch?v=ho9vNL4MYZ8&pp=ygUMRGF0YSBTY2llbmNl,Thu Vu data analytics,https://www.youtube.com/@Thuvu5,111K views,6 months ago,Hi data nerds! Today I'm sharing with you my recommended learning roadmap and the courses to help you learn the core data ...
"
            
            Best Data Science Books for Beginners 📚
          ",https://www.youtube.com/watch?v=uFTd2b23GvI&pp=ygUMRGF0YSBTY2llbmNl,Thu Vu data analytics,https://www.youtube.com/@Thuvu5,223K views,6 months ago,"Hey data nerds, in today's video we'll go over some of my recommended books for data science beginners. I'll talk about books for ..."
"
            
            How to Learn PYTHON for Data Science in 14 Days (2023 Roadmap)
          ",https://www.youtube.com/watch?v=2o89MY7dix8&pp=ygUMRGF0YSBTY2llbmNl,WsCube Tech,https://www.youtube.com/@wscubetech,6.4K views,1 day ago,"In this video, we will explore a comprehensive 14-day roadmap to learn Python for data science. With step-by-step guidance, you ..."
"
            
            Data Science Job Opportunity (by Myanmar Data Science)
          ",https://www.youtube.com/watch?v=9AYJ_AWEdMc&pp=ygUMRGF0YSBTY2llbmNl,MYANMAR DATA SCIENCE,https://www.youtube.com/@MYANMARDATASCIENCE,2K views,1 year ago,"In this video, we will answer one of the most asked questions from learner, i.e. the job prospective of a data science professional."
"
            
            6 Months Data Science RoadMap 2023
          ",https://www.youtube.com/watch?v=NWzbdWf7Yts&pp=ygUMRGF0YSBTY2llbmNl,Krish Naik,https://www.youtube.com/@krishnaik06,83K views,3 months ago,We at PW Skills are happy to announce below Data Science Batch Best Affordable Data Science Course From Pwskills(6-7 ...
"
            
            WGU Data Analytics Degree: How To Graduate In 6 Months
          ",https://www.youtube.com/watch?v=bXvR6InX1QU&pp=ygUMRGF0YSBTY2llbmNl,Shane Hummus,https://www.youtube.com/@ShaneHummus,7.1K views,2 months ago,---------- These videos are for entertainment purposes only and they are just Shane's opinion based off of his own life experience ...
"
            
            FASTEST Way to Learn Data Science and ACTUALLY Get a Job
          ",https://www.youtube.com/watch?v=AI1eKN1Eldg&pp=ygUMRGF0YSBTY2llbmNl,Power Couple,https://www.youtube.com/@Power_Couple,65K views,8 months ago,Becoming a Data Scientist requires mastering many different skills. In this video we will cover: 1. How to become a Data Scientist ...
